Q_No,question,option 1,option 2,option 3,option 4,answer
1,Choose the synonym of Rapid,Slow,Fast,Calm,Lazy,Fast
2,Antonym of Brave,Courageous,Coward,Fearless,Bold,Coward
3,She ___ to the market yesterday.,go,going,went,gone,went
4,Choose the correct spelling,Acomodation,Accommodation,Accomodation,Acommadation,Accommodation
5,___ apple a day keeps the doctor away.,An,A,The,At,An
6,He ___ here since morning.,is,was,has been,had been,has been
7,Change to passive: They are playing cricket.,Cricket has been played by them.,Cricket was played by them.,Cricket is being played by them.,Cricket is played by them.,Cricket is being played by them.
8,She is good ___ dancing.,At,In,By,On,At
9,Select the synonym of Huge,Tiny,Enormous,Small,Narrow,Enormous
10,I ___ my homework.,finished,have finished,finishes,finish,have finished
11,Opposite of Victory,Success,Champion,Defeat,Win,Defeat
12,He runs ___ than me.,fast,faster,fastest,more fast,faster
13,Identify the correct sentence,He doesn’t likes tea.,He doesn’t like tea.,He don’t like tea.,He not likes tea.,He doesn’t like tea.
14,Choose the synonym of Happy,Sad,Angry,Joyful,Tired,Joyful
15,The train ___ before we reached.,will leave,leaves,had left,is leaving,had left
16,Choose the correct plural of Child,Childs,Childes,Children,Childrens,Children
17,Antonym of Accept,Embrace,Approve,Reject,Welcome,Reject
18,I prefer tea ___ coffee.,To,But,Than,In,To
19,He came ___ he was invited.,So,If,Because,But,Because
20,Choose the correct spelling,Beatiful,Beautyful,Beauterful,Beautiful,Beautiful
21,Synonym of Brilliant,Dull,Bright,Slow,Lazy,Bright
22,Antonym of Calm,Peaceful,Quiet,Angry,Silent,Angry
23,He ___ to school every day.,go,goes,gone,going,goes
24,Choose the correct spelling,Beggining,Begining,Beginning,Begginingg,Beginning
25,___ umbrella is useful in rain.,A,An,The,At,An
26,She ___ working since morning.,is,was,has been,had been,has been
27,Change to passive: They built a bridge.,A bridge is built by them.,A bridge was built by them.,A bridge is being built by them.,A bridge has built by them.,A bridge was built by them.
28,He is fond ___ music.,at,in,of,with,of
29,Synonym of Quick,Slow,Fast,Lazy,Weak,Fast
30,I ___ my lunch.,eat,ate,have eaten,eating,have eaten
31,Opposite of Success,Victory,Defeat,Win,Triumph,Defeat
32,He runs ___ than his brother.,fast,faster,fastest,more fast,faster
