Q_No,question,option 1,option 2,option 3,option 4,answer
1,"Find the odd one out:","Mango","Banana","Apple","Carrot","Carrot"
2,"If CAT = 24, DOG = 26, then BAT = ?","21","20","23","25","23"
3,"Ramesh is taller than Suresh but shorter than Mahesh. Who is the tallest?","Ramesh","Suresh","Mahesh","None of the above","Mahesh"
4,"Series: 2, 6, 12, 20, ?","25","28","30","32","30"
5,"Choose the missing number: 5, 10, 20, 40, ?","50","70","80","100","80"
6,"A is B’s brother. B is C’s sister. How is A related to C?","Sister","Cousin","Father","Brother","Brother"
7,"Which word does not belong?","Table","Chair","Bench","Bottle","Bottle"
8,"If 9 + 3 = 12, 8 + 2 = 10, then 7 + 3 = ?","11","10","9","13","10"
9,"Statements: All flowers are plants. Some plants are trees. Conclusion: Some flowers are trees.","True","False","Cannot say","Maybe","False"
10,"Find the next term: AB, CD, EF, ?","IJ","GH","KL","MN","GH"
11,"If 1 = A, 2 = B, then 8 = ?","H","F","G","I","H"
12,"Which number is different: 2, 4, 8, 16, 24","2","4","16","24","24"
13,"If North = 0°, East = 90°, South = 180°, West = ?","180°","270°","360°","90°","270°"
14,"If 3 cats catch 3 rats in 3 minutes, how many rats can 6 cats catch in 6 minutes?","6","9","12","18","12"
15,"Find the missing number: 4, 9, 16, 25, ?","30","36","35","40","36"
16,"Arrange in order of size: House, Door, City, Room","House, Room, Door, City","Door, Room, House, City","City, House, Door, Room","Room, Door, House, City","Room, Door, House, City"
17,"If 'APPLE' is coded as 'BQQMF', then 'BALL' is coded as:","CBMM","CANN","BCLL","CCLM","CBMM"
18,"Which one is not like others: January, March, July, December","January","March","June","December","June"
19,"If some pencils are pens and all pens are erasers, some pencils are erasers — True or False?","True","False","Cannot say","Both","True"
20,"Mirror image of EAST is:","TESA","TSAE","EAST","SAET","TSAE"
21,"If 9 + 3 = 36 and 8 + 2 = 32, then 10 + 4 = ?","40","42","44","48","56"
22,"Find the odd one out:","Circle","Triangle","Square","Cylinder","Cylinder"
23,"If in a code, CAT = DBU, then DOG = ?","EPH","EOG","EHH","EOG","EPH"
24,"Which number will come next: 2, 6, 12, 20, ?","28","30","32","36","30"
25,"Find the missing term: 1, 4, 9, 16, ?, 36","20","25","30","40","25"
26,"Pointing to a man, Rita said, 'He is my father's only son.' How is the man related to Rita?","Brother","Uncle","Father","Cousin","Father"
27,"If FLOWER is coded as GMQXFS, then GARDEN is coded as:","HBSDFO","HBSFEO","HBSDFN","HBSDFM","HBSDFO"
28,"Find the odd one out:","Iron","Gold","Silver","Wood","Wood"
29,"If 15% of a number is 45, then what is the number?","200","250","300","350","300"
30,"Which is different from others?","Pen","Pencil","Eraser","Paper","Paper"
31,"Choose the correct relation: Finger : Hand :: Leaf : ?","Branch","Tree","Root","Stem","Tree"
32,"Find the next number: 5, 10, 20, 40, ?","60","70","80","100","80"
33,"If BLUE = 40, RED = 27, then GREEN = ?","42","44","45","49","45"
34,"Rearrange the letters to form a meaningful word: 'RAEHT'","HEART","EARTH","HATER","TEARH","EARTH"
35,"If A = 2, B = 4, C = 6, then J = ?","18","20","22","24","20"
36,"Which of the following is not an animal?","Lion","Tiger","Table","Elephant","Table"
37,"If 'rain' is 'water' and 'water' is 'sky', then where does rain fall?","Sky","Ground","River","Cloud","Sky"
38,"Which one does not belong: Apple, Orange, Grape, Carrot","Apple","Orange","Grape","Carrot","Carrot"
39,"Find the missing number: 7, 14, 21, 28, ?","32","33","35","36","35"
40,"A train 100 m long crosses a man in 10 seconds. Its speed is:","36 km/h","48 km/h","60 km/h","72 km/h","36 km/h"
41,"Find the odd one out:","Apple","Mango","Banana","Tomato","Tomato"
42,"If CAT = 24, DOG = 26, then FOX = ?","30","36","39","42","39"
43,"Ramesh is younger than Suresh and older than Mahesh. Who is the youngest?","Ramesh","Suresh","Mahesh","Cannot say","Mahesh"
44,"Series: 2, 5, 10, 17, 26, ?","35","37","38","40","37"
45,"Missing number: 6, 12, 24, 48, ?","72","84","96","108","96"
46,"A is B’s father, B is C’s sister. How is A related to C?","Father","Brother","Uncle","Cousin","Father"
47,"Which word does not belong?","Pen","Pencil","Eraser","Plate","Plate"
48,"If 5 + 4 = 45, 6 + 3 = 54, then 7 + 2 = ?","56","58","63","72","63"
49,"All books are papers. Some papers are files. Some files are books – True or False?","True","False","Cannot say","Maybe","Cannot say"
50,"Find the next pair: AB, DE, GH, ?","JK","KL","MN","OP","KL"
51,"If 1 = A, 5 = E, 10 = J, then 12 = ?","K","L","M","N","L"
52,"Which number is different: 2, 4, 8, 14, 16","2","4","14","16","14"
53,"If East = 90°, South = 180°, North-West = ?","270°","315°","360°","45°","315°"
54,"If 4 cats catch 4 rats in 4 minutes, 8 cats catch how many in 8 minutes?","8","12","16","20","16"
55,"Find the missing number: 3, 9, 27, 81, ?","121","162","243","324","243"
56,"Arrange in order of size: Pencil, Notebook, Bag, Table","Pencil, Bag, Table, Notebook","Pencil, Notebook, Bag, Table","Bag, Table, Pencil, Notebook","Notebook, Pencil, Bag, Table","Pencil, Notebook, Bag, Table"
57,"If 'READ' → 'SFB E', then 'BOOK' → ?","CPPK","CPLL","CPNL","CPOK","CPPK"
58,"Which one is not like others: March, June, September, December","March","June","September","December","June"
59,"If all squares are rectangles and all rectangles are shapes, all squares are shapes — True or False?","True","False","Cannot say","Both","True"
60,"Mirror image of NORTH is:","HTRON","TRHON","HNORT","NRTOH","HTRON"
61,"Many employees at Company X have started leaving because of low morale. The management plans to introduce a flexible work-from-home policy to reduce attrition. Which, if true, most strengthens the management’s plan?","Employees who left previously cited long commutes as a major reason.","The company recently upgraded office interiors.","Most employees prefer traditional office culture.","Competitors do not offer work-from-home options.","The company increased salaries last year.","A"
62,"A study shows students who drink more coffee tend to score higher on tests. Therefore, drinking coffee increases academic performance. Which statement most weakens the argument?","Students who drink coffee sleep fewer hours.","Students who score high also tend to study more, and they drink coffee to stay awake.","Coffee increases alertness temporarily.","Coffee contains caffeine, a stimulant.","Some students don’t like coffee.","B"
63,"If a car’s headlights are on, it must be nighttime. Which assumption underlies this conclusion?","Headlights are never used during the day.","All cars have functioning headlights.","It is illegal to use headlights in daytime.","Drivers never forget to switch lights off.","There are no tunnels or dark areas during day.","A"
64,"Is x > 5? 1. 2x > 10  2. x + 3 > 8","Statement (1) alone is sufficient.","Statement (2) alone is sufficient.","Both statements together are sufficient.","Each alone is sufficient.","Neither is sufficient.","D"
65,"All roses are flowers. Some flowers fade quickly. Which conclusion is logically valid?","Some roses fade quickly.","All flowers are roses.","Some flowers are not roses.","No rose fades quickly.","All fading things are flowers.","C"
66,"People who exercise regularly have fewer health problems. Harsha never exercises. What can be inferred?","Harsha will definitely have health problems.","Harsha is less likely to be healthy than regular exercisers.","Exercise causes all health problems to disappear.","Health problems are caused only by lack of exercise.","Harsha will never exercise.","B"
67,"Company Z claims its new battery lasts twice as long as competitors’. To evaluate the claim, what would be most useful to know?","Whether competitors use similar technology.","Whether “twice as long” refers to hours of use or total lifespan.","Whether customers like Company Z.","How expensive the new battery is.","The color of the battery.","B"
68,"“Every student who completed the bonus assignment scored well on the exam.” Which statement shows similar reasoning?","Every athlete who trains regularly performs better in competition.","Some students who scored well didn’t complete the bonus.","Only hardworking students complete assignments.","Some assignments are easy.","Exams test memory only.","A"
69,"Three boxes are labeled “Apples,” “Oranges,” and “Mixed.” Each label is wrong. You may pick one fruit from one box. Which box should you pick from to correctly relabel all boxes?","Apples","Oranges","Mixed","Any box","Cannot be determined","C"
70,"People in City A drink more sugary soda but have lower obesity rates than City B. Which explains this?","City A citizens exercise more.","City B has better healthcare.","Soda in City A is more expensive.","City A’s soda contains less sugar.","City B citizens eat more fast food.","E"
71,"Researchers observed that areas with more streetlights tend to have fewer crimes at night. They concluded that installing more streetlights reduces crime. Which of the following, if true, most weakens the conclusion?","Well-lit areas are also more heavily patrolled by police.","Criminals prefer to commit crimes during the day.","Streetlights are expensive to maintain.","People feel safer walking at night in well-lit areas.","Streetlights consume a lot of electricity.","A"
72,"A company introduced an employee wellness program, and after six months, reported a 20% drop in sick leaves. The CEO concluded that the program improved employee health. Which of the following, if true, most seriously undermines the CEO’s conclusion?","The company also implemented a stricter attendance policy.","Employees reported higher job satisfaction.","The wellness program included yoga sessions.","The company offered free health check-ups.","Some employees joined gyms outside work.","A"
73,"A study found that people who drink green tea regularly have a lower risk of heart disease. The researchers concluded that green tea prevents heart disease. Which of the following, if true, most weakens the conclusion?","Green tea drinkers tend to have healthier diets and exercise more.","Green tea contains antioxidants that are good for the heart.","The study involved participants from multiple cities.","Green tea is low in calories.","Green tea drinkers sleep fewer hours.","A"
74,"A city government increased parking fees to reduce traffic congestion. After a year, traffic levels remained the same. Which of the following, if true, best explains why congestion did not decrease?","Many drivers shifted to free parking areas nearby.","Public transport services improved during the year.","The city’s population grew.","Fuel prices decreased.","People prefer private vehicles for convenience.","A"
75,"An online retailer claims its same-day delivery service has improved customer satisfaction. Which of the following, if true, most strengthens this claim?","Customer surveys show a significant increase in satisfaction after the service began.","Competitors also introduced same-day delivery.","Customers now make smaller orders more frequently.","Delivery costs increased for the company.","The number of returns increased slightly.","A"
76,"All consultants are analytical thinkers. Some analytical thinkers are extroverts. Which of the following conclusions can be logically drawn?","Some consultants are extroverts.","All extroverts are consultants.","Some extroverts are analytical thinkers.","All analytical thinkers are consultants.","No consultants are extroverts.","C"
77,"No renewable energy source causes pollution. All solar panels are renewable energy sources. Which of the following must be true?","Some solar panels cause pollution.","Solar panels do not cause pollution.","Only solar panels are renewable sources.","All pollution comes from non-renewable sources.","Some non-renewable sources cause no pollution.","B"
78,"Some leaders are visionaries. All visionaries are risk-takers. Which of the following conclusions is valid?","All risk-takers are leaders.","Some leaders are risk-takers.","Some risk-takers are not leaders.","No leaders are risk-takers.","All leaders are visionaries.","B"
